occupation_name,skills,knowledge,prompt,results,rephrase_prompts
dip tank operator,"['inspect quality of products', 'advise on machinery malfunctions', 'supply machine']","['non-ferrous metal processing', 'manufacturing of cutlery', 'dip-coating process', 'manufacturing of metal household articles', 'manufacturing of small metal parts', 'dip tank parts', 'manufacturing of metal containers', 'types of metal', 'quality standards', 'manufacturing of light metal packaging', 'manufacturing of weapons and ammunition', 'manufacturing of tools', 'manufacturing of steam generators']","Take this sentence from a Job Posting.

""NET * Expert knowledge of ##ASP.NET## and ##ASP.NET MVC 3## or up * Extensive experience @@developing ##JSON## services@@ * Very good knowledge of ##HTML## ##CSS## ##JavaScript## ##XML## and ##JSON## * Very good knowledge of ##MSSQL## and ##TSQL## * Strong knowledge of ##AJAX## * Strong knowledge and hands-on-experience with ##ERP## and ##ecommerce## systems * Very good at @@designing db@@ @@architecturesCustomer focused@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@inspect quality of products@@, @@advise on machinery malfunctions@@, @@supply machine@@, and for knowledge: ##non-ferrous metal processing##, ##manufacturing of cutlery##, ##dip-coating process##, ##manufacturing of metal household articles##, ##manufacturing of small metal parts##, ##dip tank parts##, ##manufacturing of metal containers##, ##types of metal##, ##quality standards##, ##manufacturing of light metal packaging##, ##manufacturing of weapons and ammunition##, ##manufacturing of tools##, ##manufacturing of steam generators##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Expert knowledge of ##non-ferrous metal processing## and ##manufacturing of cutlery## or up * Extensive experience @@inspect quality of products@@ * Very good knowledge of ##dip-coating process##, ##manufacturing of metal household articles##, ##manufacturing of small metal parts##, ##dip tank parts##, and ##manufacturing of metal containers## * Very good knowledge of ##types of metal## and ##quality standards## * Strong knowledge of ##manufacturing of light metal packaging## * Strong knowledge and hands-on-experience with ##manufacturing of weapons and ammunition## and ##manufacturing of tools## systems * Very good at @@advise on machinery malfunctions@@, @@supply machine@@ * Expertise in ##manufacturing of steam generators##.",
 intelligent systems designer,['build recommender systems'],[],"Take this sentence from a Job Posting.

""You thrive with and are able to once in a while @@handle short term deadlines@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@build recommender systems@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You thrive with and are able to once in a while @@build recommender systems@@.,
automotive engineer,['perform market research'],[],"Take this sentence from a Job Posting.

""You are used to @@facilitate and train people@@ preferably in a virtual setting .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@perform market research@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are used to @@perform market research@@ preferably in a virtual setting.,
dredge operator,['control suction booms'],[],"Take this sentence from a Job Posting.

""Your role will @@take on the international contact@@ to relevant local partners and connections and also the sales department at our headquarters .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@control suction booms@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your role will @@control suction booms@@ with relevant local partners and connections and also the sales department at our headquarters.,
cider fermentation operator,['label samples'],[],"Take this sentence from a Job Posting.

""The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as TechOps Engineer will @@architect design implement and maintain highly scalable distributed systems@@ that provide availability scalability and performance guarantees in the cloud .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@label samples@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The new TechOps Engineer position at <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> requires the ability to @@label samples@@, ensuring availability, scalability, and performance guarantees in the cloud.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""The new position in <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> as TechOps Engineer will @@label samples@@ that provide availability, scalability, and performance guarantees in the cloud.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
clothing sample machinist,['use textile technique for hand-made products'],['standard sizing systems for clothing'],"Take this sentence from a Job Posting.

""Apart from the research work itself the students participation in the project will involve @@tight collaboration with project partners@@ and frequent visits to the involved labs active participation at the bi-annual network events as well as training in complementary skills such as ##project management## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use textile technique for hand-made products@@, and for knowledge: ##standard sizing systems for clothing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Apart from the work itself, the students' participation in the project will involve @@use textile technique for hand-made products@@ with project partners and frequent visits to the involved labs, active participation at the bi-annual network events, as well as training in complementary skills such as ##standard sizing systems for clothing##.",
leather goods warehouse operator,"['determine lather goods warehouse layout', 'use IT tools']",[],"Take this sentence from a Job Posting.

""Your career driven by @@curiosity@@ and @@customer insights@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@determine lather goods warehouse layout@@, @@use IT tools@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your career driven by @@determine leather goods warehouse layout@@ and @@use IT tools@@,
masseur/masseuse,['administer appointments'],[],"Take this sentence from a Job Posting.

""@@Design of flow charts & P&IDs based on customer requests@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@administer appointments@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Administer appointments@@ based on customer requests.,
envelope maker,[],"['printing techniques', 'quality standards']","Take this sentence from a Job Posting.

""You will be involved in every stage of projects from ##initial offer## to ##final delivery## to the customers .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##printing techniques##, ##quality standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be involved in every stage of projects from ##printing techniques## to ##quality standards## to the customers.,
"import export specialist in furniture, carpets and lighting equipment",[],"['embargo regulations', 'international commercial transactions rules']","Take this sentence from a Job Posting.

""You have interest in working within a ##regulated device industry## like the ##medical industry## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##embargo regulations##, ##international commercial transactions rules##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You have interest in working within a ##embargo regulations## like the ##international commercial transactions rules##.,
food safety inspector,['manage the use of additives in food manufacturing'],[],"Take this sentence from a Job Posting.

""He/she will @@serve as an escalation point of contact for issues@@ that impacts the partners success .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage the use of additives in food manufacturing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",He/she will @@manage the use of additives in food manufacturing@@ that impacts the partner's success.,
"furniture, carpets and lighting equipment distribution manager",[],['supply chain management'],"Take this sentence from a Job Posting.

""The research activity will focus on ##topological phases of matter## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##supply chain management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The focus of the research activity will be on ##supply chain management##. This work will be conducted within our organization and in collaboration with another partner organization.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""The research activity will focus on ##supply chain management## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
food production planner,"['keep food laboratory inventory', 'implement short term objectives', 'adapt production levels', 'apply control process statistical methods']",[],"Take this sentence from a Job Posting.

""You are comfortable in @@gaining new knowledge@@ @@working independently@@ @@co-operating with different professions@@ and @@share your findings with colleagues@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@keep food laboratory inventory@@, @@implement short term objectives@@, @@adapt production levels@@, @@apply control process statistical methods@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You are comfortable in @@keeping food laboratory inventory@@, @@implementing short term objectives@@, @@adapting production levels@@, and @@applying control process statistical methods@@.",
tobacco shop manager,['oversee promotional sales prices'],[],"Take this sentence from a Job Posting.

""This position gives you a great opportunity to travel @@broaden your contact base@@ and further develop in the position .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@oversee promotional sales prices@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",This position gives you a great opportunity to travel @@oversee promotional sales prices@@ and further develop in the position.,
manufacturing facility manager,"['manage staff', 'plan buildings maintenance work', 'liaise with security authorities']",[],"Take this sentence from a Job Posting.

""Here you have the time to @@delve deep into problems@@ and @@find creative solutions@@ while @@being part of a team@@ of other specialists who can inspire you,'' says <NAME>""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage staff@@, @@plan buildings maintenance work@@, @@liaise with security authorities@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Here you have the opportunity to @@manage staff@@, @@plan buildings maintenance work@@, and @@liaise with security authorities@@ while being part of a team of other specialists who can inspire you,'' says <NAME>",
numerical tool and process control programmer,"['read standard blueprints', 'ensure equipment availability', 'program a CNC controller', 'set up the controller of a machine', 'apply control process statistical methods']","['Haskell', 'Perl', 'Python (computer programming)', 'VBScript']","Take this sentence from a Job Posting.

""You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@Developing competitive technical solutions@@ during the sales/tender phase - in line with customers needs and requirements @@Design construction and commissioning of mechanical ##electrical high-/medium-voltage and communication systems## for ##offshore substations##@@ @@Assisting Procurement and Project Management in negotiations with suppliers and customers@@ @@Attending factory tests site tests commissioning and handover of projects@@ to clients and their O&M organisations @@Development optimisation and standardisation of technical solutions@@ Your profile You hold a ##bachelors or masters degree## in ##electrical or mechanical engineering## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@read standard blueprints@@, @@ensure equipment availability@@, @@program a CNC controller@@, @@set up the controller of a machine@@, @@apply control process statistical methods@@, and for knowledge: ##Haskell##, ##Perl##, ##Python (computer programming)##, ##VBScript##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking a member to join our Offshore Wind Technology engineering team. In this role, you will be involved in the entire project life cycle. Your responsibilities will include reading standard blueprints @@read standard blueprints@@ during the sales/tender phase to align with customers' needs and requirements. You will also ensure equipment availability @@ensure equipment availability@@ and handle the commissioning of mechanical systems. 

Your knowledge of Haskell ##Haskell##, Perl ##Perl##, and Python (computer programming) ##Python (computer programming)## will be crucial in this role. You will also be expected to program a CNC controller @@program a CNC controller@@ and set up the controller of a machine @@set up the controller of a machine@@. 

Negotiation skills are key as you will be dealing with suppliers and customers. You will also apply control process statistical methods @@apply control process statistical methods@@ to clients and their O&M organisations. 

The ideal candidate holds a degree in VBScript ##VBScript## and has a strong background in Haskell ##Haskell##. If you have the ability to read standard blueprints @@read standard blueprints@@ and a passion for renewable energy, we would love to hear from you.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@read standard blueprints@@ during the sales/tender phase - in line with customers' needs and requirements @@ensure equipment availability@@ and commissioning of mechanical ##Haskell##, ##Perl##, and communication systems for ##Python (computer programming)## @@program a CNC controller@@ @@set up the controller of a machine@@ in negotiations with suppliers and customers @@apply control process statistical methods@@ to clients and their O&M organisations @@read standard blueprints@@ Your profile You hold a ##VBScript## in ##Haskell##.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
decksman,['adhere to traffic regulations on inland waterways'],[],"Take this sentence from a Job Posting.

""What we are looking for We seek a full-time DevOps Engineer to help us @@build and operate a scalable highly available robust and secure production environment@@ for our platform .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@adhere to traffic regulations on inland waterways@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are in search of a full-time DevOps Engineer who can assist us in ensuring our platform @@adheres to traffic regulations on inland waterways@@.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""What we are looking for We seek a full-time DevOps Engineer to help us @@adhere to traffic regulations on inland waterways@@ for our platform.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
category manager,"['integrate strategic foundation in daily performance', 'use different communication channels', 'define measurable marketing objectives', 'select optimal distribution channel']",[],"Take this sentence from a Job Posting.

""Inherently you are a @@team player@@ when it comes to @@cooperation with internal and external stakeholders@@ but at the same time you are @@independent@@ and @@confident being at our own@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@integrate strategic foundation in daily performance@@, @@use different communication channels@@, @@define measurable marketing objectives@@, @@select optimal distribution channel@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Inherently you are able to @@integrate strategic foundation in daily performance@@ when it comes to @@using different communication channels@@ but at the same time you are @@defining measurable marketing objectives@@ and @@selecting optimal distribution channels@@.,
electric meter technician,['wear appropriate protective gear'],[],"Take this sentence from a Job Posting.

""Professional and personal development opportunity in being part of @@scaling up and optimizing production processes@@ How to apply We will process applications as they arrive .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@wear appropriate protective gear@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Opportunity for professional and personal development by being part of a team that values the skill of @@wearing appropriate protective gear@@. We will process applications as they arrive, so apply today.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Professional and personal development opportunity in being part of @@wear appropriate protective gear@@ How to apply We will process applications as they arrive.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
social work supervisor,"['negotiate with social service users', 'manage ethical issues within social services']",[],"Take this sentence from a Job Posting.

""We imagine that you are able to @@work at a high pace@@ and you are @@motivated@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@negotiate with social service users@@, @@manage ethical issues within social services@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We imagine that you are able to @@negotiate with social service users@@ and you are @@manage ethical issues within social services@@.,
architectural drafter,['use CAD software'],[],"Take this sentence from a Job Posting.

""Thus you will @@work closely with our scientists on multiple projects@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use CAD software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Thus you will @@use CAD software@@ on multiple projects.,
sales manager,"['study sales levels of products', 'evaluate marketing content', 'teach marketing principles']",[],"Take this sentence from a Job Posting.

""Personal qualifications You are an @@analytical@@ and @@theoretical@@ @@solid@@ Mechanical engineer .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@study sales levels of products@@, @@evaluate marketing content@@, @@teach marketing principles@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Personal qualifications: As a solid Mechanical Engineer, you possess the skills to @@study sales levels of products@@, @@evaluate marketing content@@, and @@teach marketing principles@@.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Personal qualifications: You are an @@study sales levels of products@@, @@evaluate marketing content@@, and @@teach marketing principles@@ solid Mechanical engineer.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
religious studies lecturer,"['monitor developments in field of expertise', 'compile course material', 'manage intellectual property rights', 'provide technical expertise']",[],"Take this sentence from a Job Posting.

""The position You will be part of our new launch team and your role will be to @@collaborate with the receiving organisation@@ and @@assist local authors@@ in @@writing and delivering articles@@ while @@ensuring that local articles are in high quality and that language is at eye level with our employees and comply with corporate standards@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@monitor developments in field of expertise@@, @@compile course material@@, @@manage intellectual property rights@@, @@provide technical expertise@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The position You will be part of our new launch team and your role will be to @@monitor developments in field of expertise@@ and @@compile course material@@ in @@managing intellectual property rights@@ while @@providing technical expertise@@ ensuring that our intellectual property is protected and that our technical expertise is at eye level with our employees and comply with corporate standards.,
membranophone musical instruments maker,"['assemble musical instrument parts', 'trade in musical instruments']",[],"Take this sentence from a Job Posting.

""@@Sandwich making@@ and other @@basic food preparation tasks@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@assemble musical instrument parts@@, @@trade in musical instruments@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Assemble musical instrument parts@@ and other @@trade in musical instruments@@ tasks.,
book-sewing machine operator,"['lift stacks of paper', 'follow a brief', 'monitor gauge', 'sew signatures', 'troubleshoot', 'monitor conveyor belt', 'follow safety precautions in printing', 'supply machine', 'set up machine controls', 'report defective manufacturing materials']","['types of paper', 'quality standards', 'printed goods processes']","Take this sentence from a Job Posting.

""Furthermore your key duties will be to: start up the engineering subproject @@lay down subproject requirements@@ and @@manage engineering contracts time budget resources quality and designs@@ within subproject scope @@establish requirements for ##geotechnical and metocean reports##@@ @@prepare ##jacket and topside design## basis for engineering contractors and technical requirements for engineering fabrication and installation tenders and contracts@@ @@facilitate cooperation with third-party certifying agencies@@ to @@obtain statement of compliance on structural integrity@@ @@inform project management of all significant technical issues particularly risks@@ @@develop contingency plans@@ and @@be in charge of management of changes@@ in the design and fabrication phases close down the subproject and @@prepare technical documentation@@ of ##design safety philosophy## ##inspection plan## ##decommissioning and abandonment plan## and ##operation and maintenance manual## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@lift stacks of paper@@, @@follow a brief@@, @@monitor gauge@@, @@sew signatures@@, @@troubleshoot@@, @@monitor conveyor belt@@, @@follow safety precautions in printing@@, @@supply machine@@, @@set up machine controls@@, @@report defective manufacturing materials@@, and for knowledge: ##types of paper##, ##quality standards##, ##printed goods processes##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Furthermore, your key duties will be to: @@lift stacks of paper@@, @@follow a brief@@, @@monitor gauge@@, @@sew signatures@@, @@troubleshoot@@, @@monitor conveyor belt@@, @@follow safety precautions in printing@@, @@supply machine@@, @@set up machine controls@@, @@report defective manufacturing materials@@ within the scope of the project. @@Establish requirements for ##types of paper##@@, @@prepare ##quality standards## basis for contractors and technical requirements for fabrication and installation tenders and contracts@@, @@facilitate cooperation with third-party certifying agencies@@ to @@obtain statement of compliance on structural integrity@@, @@inform project management of all significant technical issues particularly risks@@, @@develop contingency plans@@ and @@be in charge of management of changes@@ in the design and fabrication phases. Close down the project and @@prepare technical documentation@@ of ##printed goods processes##.",
tunnel boring machine operator,['operate theodolite'],[],"Take this sentence from a Job Posting.

""You will @@thrive in an international environment@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@operate theodolite@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will @@operate theodolite@@.,
sound artist,['develop educational resources'],"['labour legislation', 'intellectual property law']","Take this sentence from a Job Posting.

""The primary work tasks are @@development of ##hybrid superconductor-semiconductor materials##@@ for ##quantum transport electronic structures## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop educational resources@@, and for knowledge: ##labour legislation##, ##intellectual property law##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The primary work tasks are @@developing educational resources@@ for ##labour legislation## and ##intellectual property law##.,
bulldozer operator,"['operate construction scraper', 'operate grader', 'keep records of work progress']",[],"Take this sentence from a Job Posting.

""Key to this role is the ability to @@articulate value@@ @@inspire clients@@ to sell the value of the Mono platform and @@encourage adoption and expansion@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@operate construction scraper@@, @@operate grader@@, @@keep records of work progress@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Key to this role is the ability to @@operate construction scraper@@, @@operate grader@@ to ensure the efficiency of the construction site, and @@keep records of work progress@@ to monitor project advancement and expansion.",
