occupation_name,skills,knowledge,prompt,results,original_sentences
blockchain architect,['develop software prototype'],"['blockchain openness', 'software components libraries', 'smart contract']","Take this sentence from a Job Posting.

""Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies reactjs ##javascript## ##node.js## ##parse-platform## Job description Do you like to @@be in the entire technical stack@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop software prototype@@, and for knowledge: ##blockchain openness##, ##software components libraries##, ##smart contract##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies ##blockchain openness## ##software components libraries## ##smart contract## Job description Do you like to @@develop software prototype@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues.,"""Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies reactjs ##javascript## ##node.js## ##parse-platform## Job description Do you like to @@be in the entire technical stack@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues ."""
user experience analyst,[],"['online moderation techniques', 'software metrics']","Take this sentence from a Job Posting.

""Experience with ##network monitoring## and ##telemetry solutions## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##online moderation techniques##, ##software metrics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##online moderation techniques## and ##software metrics##.,"""Experience with ##network monitoring## and ##telemetry solutions## ."""
software analyst,[],"['hybrid model', 'software design methodologies', 'ML (computer programming)']","Take this sentence from a Job Posting.

""##Charity## ##Non-Profit## ##Publishing##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##hybrid model##, ##software design methodologies##, ##ML (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Hybrid Model## ##Software Design Methodologies## ##ML (Computer Programming)##,"""##Charity## ##Non-Profit## ##Publishing##"""
blockchain architect,[],"['data analytics', 'business processes', 'blockchain consensus mechanisms']","Take this sentence from a Job Posting.

""##user-experience## ##user-interface## ##design##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##data analytics##, ##business processes##, ##blockchain consensus mechanisms##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##data analytics## ##business processes## ##blockchain consensus mechanisms##,"""##user-experience## ##user-interface## ##design##"""
green  consultant,['create project specifications'],[],"Take this sentence from a Job Posting.

""Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@pro-actively driving further improvement@@ to reach targets""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create project specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@creating project specifications@@ to reach targets,"""Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@pro-actively driving further improvement@@ to reach targets"""
enterprise architect,"['apply conflict management', 'build business relationships']",[],"Take this sentence from a Job Posting.

""A @@team-player@@ who @@works as well with others as well as individually@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply conflict management@@, @@build business relationships@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",A @@apply conflict management@@ who @@build business relationships as well with others as well as individually@@.,"""A @@team-player@@ who @@works as well with others as well as individually@@ ."""
data quality specialist,"['execute  audits', 'report analysis results']",[],"Take this sentence from a Job Posting.

""A @@self-starter@@ attitude with experience @@managing and prioritising your own workload@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@execute  audits@@, @@report analysis results@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",An @@execute audits@@ attitude with experience @@report analysis results@@.,"""A @@self-starter@@ attitude with experience @@managing and prioritising your own workload@@ ."""
blockchain developer,['use software libraries'],"['decentralized application frameworks', 'principles of distributed ledger technology']","Take this sentence from a Job Posting.

""@@Support and mentor other engineers@@ through ##code reviews## and ##pair programming sessions##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use software libraries@@, and for knowledge: ##decentralized application frameworks##, ##principles of distributed ledger technology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Use software libraries@@ to work with ##decentralized application frameworks## and understand the ##principles of distributed ledger technology##,"""@@Support and mentor other engineers@@ through ##code reviews## and ##pair programming sessions##"""
green  consultant,[],['emergent technologies'],"Take this sentence from a Job Posting.

""Experience with ##TDD/BDD##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##emergent technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##emergent technologies##,"""Experience with ##TDD/BDD##"""
digital games tester,"['develop  test suite', 'provide software testing documentation']",[],"Take this sentence from a Job Posting.

""@@Upgrade systems@@ @@release new agents to endpoints@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop  test suite@@, @@provide software testing documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Develop test suite@@ and @@provide software testing documentation@@ for new projects.,"""@@Upgrade systems@@ @@release new agents to endpoints@@"""
 integration tester,[],"[' debugging tools', ' infrastructure']","Take this sentence from a Job Posting.

""* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## debugging tools##, ## infrastructure##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong technical fundamentals in one or more of the ##debugging tools## Preference for experience in ##infrastructure##.,"""* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## ."""
ethical hacker,[],['organisational resilience'],"Take this sentence from a Job Posting.

""In your role as a Senior FullStack Engineer you would be the key responsible for ##technical solutions## for our platforms .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","In your role as a Senior FullStack Engineer, you would be the key responsible for ##organisational resilience## for our platforms.","""In your role as a Senior FullStack Engineer you would be the key responsible for ##technical solutions## for our platforms ."""
 business analysis manager,[],"['visual presentation techniques', 'business processes', 'business strategy concepts', ' market']","Take this sentence from a Job Posting.

""* Understanding of software skills such as ##business analysis## ##development## ##maintenance## and ##software improvement##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##visual presentation techniques##, ##business processes##, ##business strategy concepts##, ## market##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","* Understanding of software skills such as ##visual presentation techniques##, ##business processes##, ##business strategy concepts## and ##market##","""* Understanding of software skills such as ##business analysis## ##development## ##maintenance## and ##software improvement##"""
database designer,['design database in the cloud'],[],"Take this sentence from a Job Posting.

""@@Leads development of new runbooks and method of procedures@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design database in the cloud@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Leads development of new designs for databases in the cloud@@.,"""@@Leads development of new runbooks and method of procedures@@ ."""
 business analysis manager,[],"['business process modelling', 'business processes']","Take this sentence from a Job Posting.

""##Entertainment## ##Gaming##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##business process modelling##, ##business processes##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Business Process Modelling## ##Business Processes##,"""##Entertainment## ##Gaming##"""
data quality specialist,[],"['MDX', 'visual presentation techniques', 'XQuery', 'database', 'SPARQL', 'statistics', 'query languages', 'LDAP', 'LINQ', 'data quality assessment', 'N1QL']","Take this sentence from a Job Posting.

""You will understand ##modern web applications## exposing ##RESTful APIs## ( particularly ##Spring Boot## ) and have experience in ##source code management## ##CI/CD## and you will already know or be willing to learn ##automation tooling## ( e.g Git ##GitLab## ##CI/CD## ##Puppet## ##SaltStack## or ##Ansible)## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##MDX##, ##visual presentation techniques##, ##XQuery##, ##database##, ##SPARQL##, ##statistics##, ##query languages##, ##LDAP##, ##LINQ##, ##data quality assessment##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will understand ##MDX## and ##visual presentation techniques## (particularly ##XQuery##) and have experience in ##database## and ##SPARQL##, and you will already know or be willing to learn ##statistics## (e.g. ##query languages##, ##LDAP##, ##LINQ##, ##data quality assessment## or ##N1QL##).","""You will understand ##modern web applications## exposing ##RESTful APIs## ( particularly ##Spring Boot## ) and have experience in ##source code management## ##CI/CD## and you will already know or be willing to learn ##automation tooling## ( e.g Git ##GitLab## ##CI/CD## ##Puppet## ##SaltStack## or ##Ansible)## ."""
 system architect,"['manage database', 'design database in the cloud', 'apply technical communication skills']","['Erlang', 'Java (computer programming)', 'Process-based management']","Take this sentence from a Job Posting.

""You will @@write structured and testable code@@ in ##Swift## and be able to @@maintain existing ##Objective-C## code@@ while @@following ##agile## practices@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage database@@, @@design database in the cloud@@, @@apply technical communication skills@@, and for knowledge: ##Erlang##, ##Java (computer programming)##, ##Process-based management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will @@manage database@@ in ##Erlang## and be able to @@design database in the cloud@@ using existing ##Java (computer programming)## knowledge, while @@applying technical communication skills@@ in the context of ##Process-based management## practices.","""You will @@write structured and testable code@@ in ##Swift## and be able to @@maintain existing ##Objective-C## code@@ while @@following ##agile## practices@@ ."""
data analyst,"['manage data', 'deliver visual presentation of data']",[],"Take this sentence from a Job Posting.

""You will be joining the team which @@maintains the legacy code@@ and runs the service while @@implementing the new solution within our hybrid cloud environment@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage data@@, @@deliver visual presentation of data@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be joining the team which @@manages data@@ and runs the service while @@delivering visual presentation of data within our hybrid cloud environment@@.,"""You will be joining the team which @@maintains the legacy code@@ and runs the service while @@implementing the new solution within our hybrid cloud environment@@ ."""
 research consultant,"['provide technical documentation', 'monitor  research']",[],"Take this sentence from a Job Posting.

""As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide technical documentation@@, @@monitor  research@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Data Ops for Big Data in <LOCATION> you’ll be @@providing technical documentation@@ that will @@monitor research@@ to provide business value.,"""As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ ."""
 security engineer,['remove computer virus or malware from a computer'],['risk management'],"Take this sentence from a Job Posting.

""@@Planning and developing bioinformatic tool chains and pipeline@@ for ##SARS-CoV-2##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@remove computer virus or malware from a computer@@, and for knowledge: ##risk management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Removing computer virus or malware from a computer@@ for ##risk management##,"""@@Planning and developing bioinformatic tool chains and pipeline@@ for ##SARS-CoV-2##"""
computer vision engineer,[],"['machine learning', 'resource description framework query language', 'Python (computer programming)']","Take this sentence from a Job Posting.

""##security## ##linux## ##amazon-web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##machine learning##, ##resource description framework query language##, ##Python (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##machine learning## ##resource description framework query language## ##Python (computer programming)##,"""##security## ##linux## ##amazon-web-services##"""
 consultant,[],['systems development life-cycle'],"Take this sentence from a Job Posting.

""* Fluent coding in ##Java## and associated frameworks""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##systems development life-cycle##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Fluent understanding of the ##systems development life-cycle## and associated frameworks,"""* Fluent coding in ##Java## and associated frameworks"""
 auditor manager,[],"[' quality policy', ' security standards', ' project management']","Take this sentence from a Job Posting.

""##Agile Software Development## ##eLearning## ##Web Development##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## quality policy##, ## security standards##, ## project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Quality Policy## ##Security Standards## ##Project Management##,"""##Agile Software Development## ##eLearning## ##Web Development##"""
digital forensics expert,['use different communication channels'],[],"Take this sentence from a Job Posting.

""@@Design and facilitate workshops@@ with diverse stakeholders to collaboratively explore UX challenges""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use different communication channels@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Use different communication channels@@ with diverse stakeholders to collaboratively explore UX challenges,"""@@Design and facilitate workshops@@ with diverse stakeholders to collaboratively explore UX challenges"""
 security administrator,"['implement anti-virus software', 'manage cloud data and storage', 'lead disaster recovery exercises']","['cloud security and compliance', ' security standards', 'system backup best practice', 'cyber attack counter-measures', ' security legislation', 'cyber security', 'cloud monitoring and reporting', 'web application security threats', 'information confidentiality', 'mobile device management', 'Internet of Things', 'operating systems']","Take this sentence from a Job Posting.

""* Strong @@team working skills@@ and the ability to @@work on multiple parallel work items@@ with other developers analysts etc Strong good to have: * Exposure to ##Java 8## concepts ##Lambdas## and ##Streams## * Experience in ##distributed caching## preferably ##Hazelcast *## Exposure to @@develop ##cloud## friendly application@@ using ##12 factor app methodologies## * Experience in ##messaging technologies## ##JMS## ##TIBCO## ##MQ## * Experience in ##UI testing technologies## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement anti-virus software@@, @@manage cloud data and storage@@, @@lead disaster recovery exercises@@, and for knowledge: ##cloud security and compliance##, ## security standards##, ##system backup best practice##, ##cyber attack counter-measures##, ## security legislation##, ##cyber security##, ##cloud monitoring and reporting##, ##web application security threats##, ##information confidentiality##, ##mobile device management##, ##Internet of Things##, ##operating systems##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong @@implement anti-virus software@@ and the ability to @@manage cloud data and storage@@ with other developers analysts etc Strong good to have: * Exposure to ##cloud security and compliance## concepts ##security standards## and ##system backup best practice## * Experience in ##cyber attack counter-measures## preferably ##cyber security## * Exposure to @@lead disaster recovery exercises@@ using ##cloud monitoring and reporting## * Experience in ##web application security threats## ##information confidentiality## ##mobile device management## * Experience in ##Internet of Things## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors. Their services also include ##operating systems## and ##security legislation##.,"""* Strong @@team working skills@@ and the ability to @@work on multiple parallel work items@@ with other developers analysts etc Strong good to have: * Exposure to ##Java 8## concepts ##Lambdas## and ##Streams## * Experience in ##distributed caching## preferably ##Hazelcast *## Exposure to @@develop ##cloud## friendly application@@ using ##12 factor app methodologies## * Experience in ##messaging technologies## ##JMS## ##TIBCO## ##MQ## * Experience in ##UI testing technologies## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors ."""
database administrator,"['define database physical structure', 'provide technical documentation', 'administer  system', 'implement  safety policies', 'manage database', 'use different communication channels', 'use databases', 'operate relational database management system', 'use automatic programming', 'remove computer virus or malware from a computer', 'interpret technical texts', 'perform backups', 'support  system users', 'implement a firewall', 'maintain database security']","['ObjectStore', 'MySQL', 'Teradata Database', 'MarkLogic']","Take this sentence from a Job Posting.

""In your role you will: @@Design implement and deliver highly scalable solutions@@ based on ##modern cloud-based architectures## Continuously @@develop@@ @@release@@ @@monitor@@ and improve our products and services @@Set and actively promote ##software development processes and best practices##@@ @@Partner with product managers designers and engineers@@ across the organisation to @@define high impact solutions@@ and @@deliver high-quality applications@@ @@Identify opportunities@@ and @@implement best practices@@ to @@continuously improve our existing systems Be@@ @@responsible@@ @@keep scope@@ and @@deliver iteratively@@ Participate in @@introducing new technologies and ways of working We@@ are looking for: Background in development of robust and scalable ##web applications## and ##API’s## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@define database physical structure@@, @@provide technical documentation@@, @@administer  system@@, @@implement  safety policies@@, @@manage database@@, @@use different communication channels@@, @@use databases@@, @@operate relational database management system@@, @@use automatic programming@@, @@remove computer virus or malware from a computer@@, @@interpret technical texts@@, @@perform backups@@, @@support  system users@@, @@implement a firewall@@, @@maintain database security@@, and for knowledge: ##ObjectStore##, ##MySQL##, ##Teradata Database##, ##MarkLogic##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","In your role you will: @@define database physical structure@@ and @@provide technical documentation@@ based on ##ObjectStore## and ##MySQL##. Continuously @@administer system@@, @@implement safety policies@@, and @@manage database@@ to improve our products and services. @@Use different communication channels@@ and actively promote ##Teradata Database## and ##MarkLogic##. @@Use databases@@ and @@operate relational database management system@@ across the organisation to @@use automatic programming@@ and @@remove computer virus or malware from a computer@@. @@Interpret technical texts@@ and @@perform backups@@ to @@continuously improve our existing systems@@. Be @@support system users@@, @@implement a firewall@@, @@maintain database security@@, and @@deliver iteratively@@. Participate in @@introducing new technologies and ways of working@@. We are looking for: Background in development of robust and scalable ##web applications## and ##API’s##.","""In your role you will: @@Design implement and deliver highly scalable solutions@@ based on ##modern cloud-based architectures## Continuously @@develop@@ @@release@@ @@monitor@@ and improve our products and services @@Set and actively promote ##software development processes and best practices##@@ @@Partner with product managers designers and engineers@@ across the organisation to @@define high impact solutions@@ and @@deliver high-quality applications@@ @@Identify opportunities@@ and @@implement best practices@@ to @@continuously improve our existing systems Be@@ @@responsible@@ @@keep scope@@ and @@deliver iteratively@@ Participate in @@introducing new technologies and ways of working We@@ are looking for: Background in development of robust and scalable ##web applications## and ##API’s## ."""
chief  security officer,[],"['information security strategy', 'computer programming', 'internet governance', 'cyber security', 'information confidentiality', 'cloud technologies', ' process quality models']","Take this sentence from a Job Posting.

""At least 5 years of combined experience in ##Java## or ##Kotlin## and ##JavaScript## or ##TypeScript## programming and related ##test frameworks## ( ##Selenium## ##TestCafe## etc.) .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information security strategy##, ##computer programming##, ##internet governance##, ##cyber security##, ##information confidentiality##, ##cloud technologies##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","At least 5 years of combined experience in ##information security strategy## or ##computer programming## and ##internet governance## or ##cyber security## related strategies and related ##process quality models## ( ##information confidentiality##, ##cloud technologies## etc.).","""At least 5 years of combined experience in ##Java## or ##Kotlin## and ##JavaScript## or ##TypeScript## programming and related ##test frameworks## ( ##Selenium## ##TestCafe## etc.) ."""
data quality specialist,['manage database'],['statistics'],"Take this sentence from a Job Posting.

""Experience @@developing and managing ##testing and assurance processes .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage database@@, and for knowledge: ##statistics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience @@managing database@@ and knowledge in ##statistics## is required.,"""Experience @@developing and managing ##testing and assurance processes .##@@"""
cloud engineer,['align software with system architectures'],[],"Take this sentence from a Job Posting.

""* Strong @@design and development skills@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@align software with system architectures@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong @@align software with system architectures@@ skills.,"""* Strong @@design and development skills@@ ."""
