occupation_name,skills,knowledge,prompt,original_sentences,results
chief  security officer,[],"['computer programming', 'cloud technologies', ' system user requirements']","Take this sentence from a Job Posting.

""##computer science## ##engineering## ##sciences## . . . ) or a comparable qualification .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##computer programming##, ##cloud technologies##, ## system user requirements##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##computer science## ##engineering## ##sciences## . . . ) or a comparable qualification .,##computer programming## ##cloud technologies## ##system user requirements## . . . ) or a comparable qualification .
 consultant,[],"['hardware components', ' system integration', 'copyright legislation']","Take this sentence from a Job Posting.

""##security## ##amazon-web-services## ##cloud##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##hardware components##, ## system integration##, ##copyright legislation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##security## ##amazon-web-services## ##cloud##,##hardware components## ##system integration## ##copyright legislation##
digital forensics expert,"['analyse network configuration and performance', 'manage cloud data and storage']",[],"Take this sentence from a Job Posting.

""You as an important decision maker @@work together with all departments@@ of the company to @@ensure everybody has the tools they need to maximize their productivity@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse network configuration and performance@@, @@manage cloud data and storage@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You as an important decision maker @@work together with all departments@@ of the company to @@ensure everybody has the tools they need to maximize their productivity@@,You as an important decision maker @@analyse network configuration and performance@@ with all departments of the company to @@manage cloud data and storage@@.
software tester,['provide software testing documentation'],[],"Take this sentence from a Job Posting.

""You will represent the Cyber Hunt Team in cross-functional initiatives and @@mentor and grow junior analysts@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide software testing documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will represent the Cyber Hunt Team in cross-functional initiatives and @@mentor and grow junior analysts@@ .,You will represent the Cyber Hunt Team in cross-functional initiatives and @@provide software testing documentation@@.
embedded systems security engineer,['utilise computer-aided software engineering tools'],"['information security strategy', 'embedded systems', 'computer programming', ' network security risks', ' security standards', 'software anomalies', 'cyber attack counter-measures', 'organisational resilience', 'cloud technologies', ' encryption', 'Internet of Things']","Take this sentence from a Job Posting.

""* Experience working with ##GIT## ##Maven## ##SONAR## and ##Agile *## ##Oracle database## experience and ##Unix scripting *## ##Automated testing## and ##mocking techniques## - ##Junit## ##powermock## ##easymock## etc * Ability to @@work collaboratively in a global team@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@utilise computer-aided software engineering tools@@, and for knowledge: ##information security strategy##, ##embedded systems##, ##computer programming##, ## network security risks##, ## security standards##, ##software anomalies##, ##cyber attack counter-measures##, ##organisational resilience##, ##cloud technologies##, ## encryption##, ##Internet of Things##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience working with ##GIT## ##Maven## ##SONAR## and ##Agile *## ##Oracle database## experience and ##Unix scripting *## ##Automated testing## and ##mocking techniques## - ##Junit## ##powermock## ##easymock## etc * Ability to @@work collaboratively in a global team@@ .,"* Experience working with ##information security strategy##, ##embedded systems##, ##computer programming##, ##network security risks##, ##security standards##, ##software anomalies##, ##cyber attack counter-measures##, ##organisational resilience##, ##cloud technologies##, ##encryption##, and ##Internet of Things## * Ability to @@utilise computer-aided software engineering tools@@ in a global team."
embedded systems software developer,[],"['Haskell', 'SAS language', 'embedded systems', 'computer programming', 'Prolog (computer programming)', 'JavaScript', 'PHP', 'Puppet (tools for software configuration management)', 'Ansible', 'TypeScript', 'SAP R3', 'Swift (computer programming)', 'Python (computer programming)', 'VBScript', 'Scala']","Take this sentence from a Job Posting.

""Technologies Languages: ##Javascript## ( ##SPAs## ##Node.js## ##frontend## ##nextjs )## ##Python C### ( ##. NET## and ##. NET Core## ) MongoDB ##Redis## ##Redshift## ##DynamoDB## ##Elastic Search## React ##SASS## Docker ##Lambda## Job benefits: Be the most innovative you can with 20% personal time weekly Work with cool modern technologies Opportunities to learn from the best and develop your career Awesome colleagues and a social working environment Regular hackathons Balanced work-life environment Warm breakfast & lunch ( when we're in office ) Serious ##Ping Pong## and Foosball table tournaments Company description: Hi We’re <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Haskell##, ##SAS language##, ##embedded systems##, ##computer programming##, ##Prolog (computer programming)##, ##JavaScript##, ##PHP##, ##Puppet (tools for software configuration management)##, ##Ansible##, ##TypeScript##, ##SAP R3##, ##Swift (computer programming)##, ##Python (computer programming)##, ##VBScript##, ##Scala##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Technologies Languages: ##Javascript## ( ##SPAs## ##Node.js## ##frontend## ##nextjs )## ##Python C### ( ##. NET## and ##. NET Core## ) MongoDB ##Redis## ##Redshift## ##DynamoDB## ##Elastic Search## React ##SASS## Docker ##Lambda## Job benefits: Be the most innovative you can with 20% personal time weekly Work with cool modern technologies Opportunities to learn from the best and develop your career Awesome colleagues and a social working environment Regular hackathons Balanced work-life environment Warm breakfast & lunch ( when we're in office ) Serious ##Ping Pong## and Foosball table tournaments Company description: Hi We’re <ORGANIZATION> .,Technologies Languages: ##Haskell## ( ##SAS language## ##embedded systems## ##computer programming## ##Prolog (computer programming)## )## ##Python (computer programming)## ##VBScript## ( ##Puppet (tools for software configuration management)## and ##Ansible## ) MongoDB ##TypeScript## ##SAP R3## ##Swift (computer programming)## ##Scala## React ##JavaScript## Docker ##PHP## Job benefits: Be the most innovative you can with 20% personal time weekly Work with cool modern technologies Opportunities to learn from the best and develop your career Awesome colleagues and a social working environment Regular hackathons Balanced work-life environment Warm breakfast & lunch ( when we're in office ) Serious ##Ping Pong## and Foosball table tournaments Company description: Hi We’re <ORGANIZATION> .
 system architect,[],"['Erlang', 'information structure', 'Common Lisp', 'PHP']","Take this sentence from a Job Posting.

""You should have some experience with ##Client-/Server technologies## such as ##REST## ##HTTP## and ##JSON## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Erlang##, ##information structure##, ##Common Lisp##, ##PHP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You should have some experience with ##Client-/Server technologies## such as ##REST## ##HTTP## and ##JSON## .,You should have some experience with ##Erlang## and ##information structure## such as ##Common Lisp## and ##PHP##.
software analyst,[],['resource description framework query language'],"Take this sentence from a Job Posting.

""Experience of using ##gradle## as a build tool""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##resource description framework query language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience of using ##gradle## as a build tool,Experience of using ##resource description framework query language## as a build tool
 auditor manager,[],"['attack vectors', ' project management', 'cloud technologies']","Take this sentence from a Job Posting.

""##Kafka Streams## ##Flink## ##Storm )## is a plus""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##attack vectors##, ## project management##, ##cloud technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Kafka Streams## ##Flink## ##Storm )## is a plus,"##Attack Vectors##, ##Project Management##, ##Cloud Technologies##) is a plus"
digital games tester,"['manage schedule of tasks', 'conduct  code review', 'measure software usability']",['Lean project management'],"Take this sentence from a Job Posting.

""You will have the opportunity to work with ##open source projects## and take advantage of slack days where you can @@try out new technologies@@ or @@develop pet projects@@ and thereby @@actively improve your knowledge and skills@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage schedule of tasks@@, @@conduct  code review@@, @@measure software usability@@, and for knowledge: ##Lean project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will have the opportunity to work with ##open source projects## and take advantage of slack days where you can @@try out new technologies@@ or @@develop pet projects@@ and thereby @@actively improve your knowledge and skills@@ .,"You will have the opportunity to work with ##Lean project management## and take advantage of slack days where you can @@manage schedule of tasks@@, @@conduct code review@@, or @@measure software usability@@ and thereby @@actively improve your knowledge and skills@@."
data scientist,[],"['LDAP', 'unstructured data', 'LINQ']","Take this sentence from a Job Posting.

""##security## ##linux## ##amazon-web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##LDAP##, ##unstructured data##, ##LINQ##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##security## ##linux## ##amazon-web-services##,##LDAP## ##unstructured data## ##LINQ##
chief  security officer,[],['information confidentiality'],"Take this sentence from a Job Posting.

""Experience with ##TDD/BDD##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information confidentiality##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##TDD/BDD##,Experience with ##information confidentiality##
computer vision engineer,"['define technical requirements', 'design user interface']",[],"Take this sentence from a Job Posting.

""As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@define technical requirements@@, @@design user interface@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ .,As a Data Ops for Big Data in <LOCATION> you’ll be @@defining technical requirements@@ and @@designing user interfaces@@ that will enable other teams and end users to provide business value.
embedded systems security engineer,[],['organisational resilience'],"Take this sentence from a Job Posting.

""* ##SQL/NoSQL database## experience""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* ##SQL/NoSQL database## experience,* ##Organisational resilience## experience
 quality assurance manager,['identify customer requirements'],[],"Take this sentence from a Job Posting.

""Collaborate with program/project managers to @@develop milestones and deliverables@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify customer requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Collaborate with program/project managers to @@develop milestones and deliverables@@ .,Collaborate with program/project managers to @@identify customer requirements@@.
 business analyst,[],[' market'],"Take this sentence from a Job Posting.

""Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##German## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## market##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##German## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants .,Contact: <NAME> <NAME> ( <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Do you want to learn more about us? Visit our career page or our <ORGANIZATION> profile Job benefits: Onboarding support ( e.g assistance visa application/work permit ) Up to 10 Child-Sickness-Days per year Employer-funded pension Subsidized Lunch offer ( <CONTACT> ) Subsidized public transport ticket ( VBB Umweltkarte ) Flexible working hours Open communication flat hierarchy and fast execution Free inhouse ##market## course Company & Team events ( Hackathons Beer & Cookie Fridays Parties! ) Discounted fitness offers close to the office Company description: <ORGANIZATION> is an online credit comparison We make loans transparent fair and cheap! Our Vision: We believe that the world in general and markets in particular should be transparent and fair At <ORGANIZATION> we create this transparency and fairness by providing consumers with all the information they need in order for them to enjoy the same rights and entitlements as other market participants .
 system architect,[],"['web programming', 'Microsoft Visual C++']","Take this sentence from a Job Posting.

""* Experience with ##Docker## and ##Kubernetes##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##web programming##, ##Microsoft Visual C++##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience with ##Docker## and ##Kubernetes##,* Experience with ##web programming## and ##Microsoft Visual C++##
web developer,['use markup languages'],[],"Take this sentence from a Job Posting.

""We’re always looking for the ones truly @@passionate@@ about their work .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use markup languages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We’re always looking for the ones truly @@passionate@@ about their work .,We’re always looking for the ones truly @@use markup languages@@ in their work.
database administrator,[],['IBM Informix'],"Take this sentence from a Job Posting.

""* ##Relational DBs##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##IBM Informix##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* ##Relational DBs##,* ##IBM Informix##
IT auditor,[],"['World Wide Web Consortium standards', 'legal requirements of  products']","Take this sentence from a Job Posting.

""##Agile## ( ##Scrum/Kanban )## Any full-stack experience""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##World Wide Web Consortium standards##, ##legal requirements of  products##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Agile## ( ##Scrum/Kanban )## Any full-stack experience,##World Wide Web Consortium standards## ( ##legal requirements of products## ) Any full-stack experience
 system developer,[],"['Groovy', 'smart contract', 'TypeScript']","Take this sentence from a Job Posting.

""##front-end## ##agile## ##css##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Groovy##, ##smart contract##, ##TypeScript##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##front-end## ##agile## ##css##,##Groovy## ##smart contract## ##TypeScript##
blockchain architect,['debug software'],[],"Take this sentence from a Job Posting.

""As an experienced member of our <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@debug software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As an experienced member of our <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> we look first and foremost for people who are passionate around @@solving business problems through innovation and engineering practices@@ .,As an experienced member of our <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> we look first and foremost for people who are passionate around @@debugging software@@.
 security manager,['identify  security risks'],[],"Take this sentence from a Job Posting.

""@@Assist in the standardization and management of SOPs@@ for the R & D bioinformatics team""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify  security risks@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Assist in the standardization and management of SOPs@@ for the R & D bioinformatics team,@@Identify security risks@@ for the R & D bioinformatics team
software architect,[],"['JavaScript', 'unified modelling language', 'SAP R3', 'Swift (computer programming)']","Take this sentence from a Job Posting.

""Not required but would be nice if you have some experience with the new ##Composition API## and ##fp-ts## ##io-ts## or similar functional programming libraries like ##Ramda##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##JavaScript##, ##unified modelling language##, ##SAP R3##, ##Swift (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Not required but would be nice if you have some experience with the new ##Composition API## and ##fp-ts## ##io-ts## or similar functional programming libraries like ##Ramda##,Not required but would be nice if you have some experience with the new ##JavaScript## and ##unified modelling language## or similar functional programming libraries like ##SAP R3## and ##Swift (computer programming)##
 capacity planner,"['apply company policies', 'plan migration to cloud', 'perform business analysis', 'design process', 'forecast workload']",['systems development life-cycle'],"Take this sentence from a Job Posting.

""We're looking for an @@experienced@@ @@smart@@ and @@motivated@@ Senior Frontend Developer f/m/x to join our team who enjoys @@working in a start-up environment@@ and @@develops ##HR software##@@ our customers love .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply company policies@@, @@plan migration to cloud@@, @@perform business analysis@@, @@design process@@, @@forecast workload@@, and for knowledge: ##systems development life-cycle##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We're looking for an @@experienced@@ @@smart@@ and @@motivated@@ Senior Frontend Developer f/m/x to join our team who enjoys @@working in a start-up environment@@ and @@develops ##HR software##@@ our customers love .,"We're looking for an @@apply company policies@@, @@plan migration to cloud@@, @@perform business analysis@@, @@design process@@, and @@forecast workload@@ Senior Frontend Developer f/m/x to join our team who enjoys @@working in a start-up environment@@ and @@develops ##systems development life-cycle##@@ our customers love."
chief  security officer,[],['cyber security'],"Take this sentence from a Job Posting.

""##Financial Services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##cyber security##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Financial Services##,##Cyber Security##
software analyst,"['create prototype of user experience solutions', 'manage  legacy implication']","['SPARQL', 'N1QL']","Take this sentence from a Job Posting.

""You’ll also have experience @@leading engineers@@ @@managing stakeholders@@ and experience in / knowledge of ##Agile software product delivery## and / or ##continuous improvement## mindset .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@create prototype of user experience solutions@@, @@manage  legacy implication@@, and for knowledge: ##SPARQL##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You’ll also have experience @@leading engineers@@ @@managing stakeholders@@ and experience in / knowledge of ##Agile software product delivery## and / or ##continuous improvement## mindset .,"You’ll also have experience @@creating prototypes of user experience solutions@@, @@managing legacy implications@@, and experience in / knowledge of ##SPARQL## and / or ##N1QL##."
web developer,['use logic programming'],[],"Take this sentence from a Job Posting.

""Good @@communication skills@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use logic programming@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Good @@communication skills@@,Good @@use logic programming@@ skills
