occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
integration engineer,['integrate system components'],"['engineering processes', 'ML (computer programming)', 'hardware components suppliers']","Take this sentence from a Job Posting.

""Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies reactjs ##javascript## ##node.js## ##parse-platform## Job description Do you like to @@be in the entire technical stack@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@integrate system components@@, and for knowledge: ##engineering processes##, ##ML (computer programming)##, ##hardware components suppliers##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies ##engineering processes## ##ML (computer programming)## ##hardware components suppliers## Job description Do you like to @@integrate system components@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues.,"""Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies reactjs ##javascript## ##node.js## ##parse-platform## Job description Do you like to @@be in the entire technical stack@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues .""",Full Stack Engineer at <ORGANIZATION> <ORGANIZATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-01-08 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: kr432k - 576k Job type: Full-time Experience level: Mid-Level Senior Role: Full Stack Developer Technologies ##engineering processes## ##ML (computer programming)## ##hardware components suppliers## Job description Do you like to @@integrate system components@@ and influence how it is further developed? We are now expanding our engineering team and are looking for more amazing colleagues.,
blockchain developer,[],"['debugging tools', 'SaaS (service-oriented modelling)']","Take this sentence from a Job Posting.

""Experience with ##network monitoring## and ##telemetry solutions## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##debugging tools##, ##SaaS (service-oriented modelling)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##debugging tools## and ##SaaS (service-oriented modelling)##.,"""Experience with ##network monitoring## and ##telemetry solutions## .""",Experience with ##debugging tools## and ##SaaS (service-oriented modelling)##.,
system administrator,[],"['systems development life-cycle', 'information security strategy', 'quality assurance methodologies']","Take this sentence from a Job Posting.

""##Charity## ##Non-Profit## ##Publishing##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##systems development life-cycle##, ##information security strategy##, ##quality assurance methodologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Systems Development Life-Cycle## ##Information Security Strategy## ##Quality Assurance Methodologies##,"""##Charity## ##Non-Profit## ##Publishing##""",##Systems Development Life-Cycle## ##Information Security Strategy## ##Quality Assurance Methodologies##,
knowledge engineer,[],"['task algorithmisation', 'AJAX', 'LINQ']","Take this sentence from a Job Posting.

""##user-experience## ##user-interface## ##design##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##task algorithmisation##, ##AJAX##, ##LINQ##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##task algorithmisation## ##AJAX## ##LINQ##,"""##user-experience## ##user-interface## ##design##""",##task algorithmisation## ##AJAX## ##LINQ##,
usability tester,['manage schedule of tasks'],[],"Take this sentence from a Job Posting.

""Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@pro-actively driving further improvement@@ to reach targets""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage schedule of tasks@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@manage schedule of tasks@@ to reach targets,"""Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@pro-actively driving further improvement@@ to reach targets""",Close collaboration with <ORGANIZATION> <ORGANIZATION> and medical team; @@manage schedule of tasks@@ to reach targets,
disaster recovery analyst,"['manage IT security compliances', 'implement a virtual private network']",[],"Take this sentence from a Job Posting.

""A @@team-player@@ who @@works as well with others as well as individually@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage IT security compliances@@, @@implement a virtual private network@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are seeking an individual who can @@manage IT security compliances@@ and also has the ability to @@implement a virtual private network both individually and as part of a team@@.,"""A @@team-player@@ who @@works as well with others as well as individually@@ .""",A @@manage IT security compliances@@ who @@implements a virtual private network as well with others as well as individually@@.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""A @@manage IT security compliances@@ who @@implements a virtual private network as well with others as well as individually@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
usability tester,"['use markup languages', 'debug software']",[],"Take this sentence from a Job Posting.

""A @@self-starter@@ attitude with experience @@managing and prioritising your own workload@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use markup languages@@, @@debug software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are seeking someone with the ability to @@use markup languages@@ and has experience in @@debugging software@@.,"""A @@self-starter@@ attitude with experience @@managing and prioritising your own workload@@ .""",A @@use markup languages@@ ability with experience @@debugging software@@.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""A @@use markup languages@@ ability with experience @@debugging software@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
data warehouse designer,"[""respond to customers' inquiries""]","['Erlang', 'data models']","Take this sentence from a Job Posting.

""@@Support and mentor other engineers@@ through ##code reviews## and ##pair programming sessions##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@respond to customers' inquiries@@, and for knowledge: ##Erlang##, ##data models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Respond to customers' inquiries@@ through knowledge of ##Erlang## and understanding of ##data models##,"""@@Support and mentor other engineers@@ through ##code reviews## and ##pair programming sessions##""",@@Respond to customers' inquiries@@ through knowledge of ##Erlang## and understanding of ##data models##,
data warehouse designer,[],['database development tools'],"Take this sentence from a Job Posting.

""Experience with ##TDD/BDD##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##database development tools##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##database development tools##,"""Experience with ##TDD/BDD##""",Experience with ##database development tools##,
data analyst,"['execute analytical mathematical calculations', 'apply statistical analysis techniques']",[],"Take this sentence from a Job Posting.

""@@Upgrade systems@@ @@release new agents to endpoints@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@execute analytical mathematical calculations@@, @@apply statistical analysis techniques@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Execute analytical mathematical calculations@@ and @@apply statistical analysis techniques@@ to endpoints.,"""@@Upgrade systems@@ @@release new agents to endpoints@@""",@@Execute analytical mathematical calculations@@ and @@apply statistical analysis techniques@@ to endpoints.,
embedded system designer,[],"['Smalltalk (computer programming)', 'TypeScript']","Take this sentence from a Job Posting.

""* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Smalltalk (computer programming)##, ##TypeScript##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong technical fundamentals in one or more of the ##Smalltalk (computer programming)## Preference for experience in ##TypeScript##.,"""* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## .""",* Strong technical fundamentals in one or more of the ##Smalltalk (computer programming)## Preference for experience in ##TypeScript##.,
business analyst,[],['visual presentation techniques'],"Take this sentence from a Job Posting.

""In your role as a Senior FullStack Engineer you would be the key responsible for ##technical solutions## for our platforms .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##visual presentation techniques##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","In your role as a Senior FullStack Engineer, you would be the key responsible for ##visual presentation techniques## for our platforms.","""In your role as a Senior FullStack Engineer you would be the key responsible for ##technical solutions## for our platforms .""","In your role as a Senior FullStack Engineer, you would be the key responsible for ##visual presentation techniques## for our platforms.",
chief security officer,[],"['information security strategy', 'decision support systems', 'World Wide Web Consortium standards', 'control objectives for information and related technology']","Take this sentence from a Job Posting.

""* Understanding of software skills such as ##business analysis## ##development## ##maintenance## and ##software improvement##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information security strategy##, ##decision support systems##, ##World Wide Web Consortium standards##, ##control objectives for information and related technology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","* Understanding of software skills such as ##information security strategy##, ##decision support systems##, ##World Wide Web Consortium standards## and ##control objectives for information and related technology##","""* Understanding of software skills such as ##business analysis## ##development## ##maintenance## and ##software improvement##""","* Understanding of software skills such as ##information security strategy##, ##decision support systems##, ##World Wide Web Consortium standards## and ##control objectives for information and related technology##",
chief security officer,['implement risk management'],[],"Take this sentence from a Job Posting.

""@@Leads development of new runbooks and method of procedures@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement risk management@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Leads implementation of risk management@@.,"""@@Leads development of new runbooks and method of procedures@@ .""",@@Leads implementation of risk management@@.,
network engineer,[],"['C#', 'ASP.NET']","Take this sentence from a Job Posting.

""##Entertainment## ##Gaming##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##C###, ##ASP.NET##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are seeking a candidate with a strong knowledge of ##ASP.NET##.,"""##Entertainment## ##Gaming##""",##C### ##ASP.NET##,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""##C### ##ASP.NET##""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
intelligent systems designer,[],"['business intelligence', 'Perl', 'SPARQL', 'computer vision', 'Microsoft Visual C++', 'business process modelling', 'CoffeeScript', 'database development tools', 'project management methodologies', 'VBScript', 'principles of artificial intelligence']","Take this sentence from a Job Posting.

""You will understand ##modern web applications## exposing ##RESTful APIs## ( particularly ##Spring Boot## ) and have experience in ##source code management## ##CI/CD## and you will already know or be willing to learn ##automation tooling## ( e.g Git ##GitLab## ##CI/CD## ##Puppet## ##SaltStack## or ##Ansible)## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##business intelligence##, ##Perl##, ##SPARQL##, ##computer vision##, ##Microsoft Visual C++##, ##business process modelling##, ##CoffeeScript##, ##database development tools##, ##project management methodologies##, ##VBScript##, ##principles of artificial intelligence##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will understand ##business intelligence## exposing ##Perl## (particularly ##SPARQL##) and have experience in ##computer vision##, ##Microsoft Visual C++## and you will already know or be willing to learn ##business process modelling## (e.g. CoffeeScript, ##database development tools##, ##project management methodologies##, ##VBScript## or ##principles of artificial intelligence##).","""You will understand ##modern web applications## exposing ##RESTful APIs## ( particularly ##Spring Boot## ) and have experience in ##source code management## ##CI/CD## and you will already know or be willing to learn ##automation tooling## ( e.g Git ##GitLab## ##CI/CD## ##Puppet## ##SaltStack## or ##Ansible)## .""","You will understand ##business intelligence## exposing ##Perl## (particularly ##SPARQL##) and have experience in ##computer vision##, ##Microsoft Visual C++## and you will already know or be willing to learn ##business process modelling## (e.g. CoffeeScript, ##database development tools##, ##project management methodologies##, ##VBScript## or ##principles of artificial intelligence##).",
data quality specialist,"['manage schedule of tasks', 'design database in the cloud', 'perform project management']","['MDX', 'SPARQL', 'resource description framework query language']","Take this sentence from a Job Posting.

""You will @@write structured and testable code@@ in ##Swift## and be able to @@maintain existing ##Objective-C## code@@ while @@following ##agile## practices@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage schedule of tasks@@, @@design database in the cloud@@, @@perform project management@@, and for knowledge: ##MDX##, ##SPARQL##, ##resource description framework query language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will @@manage schedule of tasks@@ in ##MDX## and be able to @@design database in the cloud## using ##SPARQL## while @@performing project management## following ##resource description framework query language## practices.,"""You will @@write structured and testable code@@ in ##Swift## and be able to @@maintain existing ##Objective-C## code@@ while @@following ##agile## practices@@ .""",You will @@manage schedule of tasks@@ in ##MDX## and be able to @@design database in the cloud## using ##SPARQL## while @@performing project management## following ##resource description framework query language## practices.,
user experience analyst,"['provide technical documentation', 'analyse business requirements']",[],"Take this sentence from a Job Posting.

""You will be joining the team which @@maintains the legacy code@@ and runs the service while @@implementing the new solution within our hybrid cloud environment@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide technical documentation@@, @@analyse business requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be joining the team which @@provides technical documentation@@ and runs the service while @@analysing business requirements within our hybrid cloud environment@@.,"""You will be joining the team which @@maintains the legacy code@@ and runs the service while @@implementing the new solution within our hybrid cloud environment@@ .""",You will be joining the team which @@provides technical documentation@@ and runs the service while @@analysing business requirements within our hybrid cloud environment@@.,
consultant,"['create project specifications', 'optimise choice of solution']",[],"Take this sentence from a Job Posting.

""As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create project specifications@@, @@optimise choice of solution@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a Data Ops for Big Data in <LOCATION> you’ll be @@creating project specifications@@ that will @@optimise choice of solution@@ for other teams and end users to provide business value.,"""As a Data Ops for Big Data in <LOCATION> you’ll be @@working on creations of tools and processes@@ that will @@enable other teams and end users to provide business value@@ .""",As a Data Ops for Big Data in <LOCATION> you’ll be @@creating project specifications@@ that will @@optimise choice of solution@@ for other teams and end users to provide business value.,
accessibility tester,['conduct research interview'],['levels of software testing'],"Take this sentence from a Job Posting.

""@@Planning and developing bioinformatic tool chains and pipeline@@ for ##SARS-CoV-2##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@conduct research interview@@, and for knowledge: ##levels of software testing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Conducting research interviews@@ for understanding the ##levels of software testing##,"""@@Planning and developing bioinformatic tool chains and pipeline@@ for ##SARS-CoV-2##""",@@Conducting research interviews@@ for understanding the ##levels of software testing##,
application configurator,[],"['KDevelop', 'Apache Maven', 'integrated development environment software']","Take this sentence from a Job Posting.

""##security## ##linux## ##amazon-web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##KDevelop##, ##Apache Maven##, ##integrated development environment software##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##KDevelop## ##Apache Maven## ##integrated development environment software##,"""##security## ##linux## ##amazon-web-services##""",##KDevelop## ##Apache Maven## ##integrated development environment software##,
knowledge engineer,[],['principles of artificial intelligence'],"Take this sentence from a Job Posting.

""* Fluent coding in ##Java## and associated frameworks""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##principles of artificial intelligence##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Fluent understanding of ##principles of artificial intelligence## and associated frameworks,"""* Fluent coding in ##Java## and associated frameworks""",* Fluent understanding of ##principles of artificial intelligence## and associated frameworks,
system developer,[],"['Apache Maven', 'tools for software configuration management', 'MATLAB']","Take this sentence from a Job Posting.

""##Agile Software Development## ##eLearning## ##Web Development##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Apache Maven##, ##tools for software configuration management##, ##MATLAB##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Apache Maven## ##Tools for Software Configuration Management## ##MATLAB##,"""##Agile Software Development## ##eLearning## ##Web Development##""",##Apache Maven## ##Tools for Software Configuration Management## ##MATLAB##,
digital games developer,['use automatic programming'],[],"Take this sentence from a Job Posting.

""@@Design and facilitate workshops@@ with diverse stakeholders to collaboratively explore UX challenges""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use automatic programming@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Use automatic programming@@ with diverse stakeholders to collaboratively explore UX challenges,"""@@Design and facilitate workshops@@ with diverse stakeholders to collaboratively explore UX challenges""",@@Use automatic programming@@ with diverse stakeholders to collaboratively explore UX challenges,
application developer,"['do cloud refactoring', 'interpret technical texts', 'use software libraries']","['KDevelop', 'Common Lisp', 'Visual Studio .NET', 'computer programming', 'Prolog (computer programming)', 'software anomalies', 'Assembly (computer programming)', 'C#', 'R', 'NoSQL', 'integrated development environment software', 'Salt (tools for software configuration management)']","Take this sentence from a Job Posting.

""* Strong @@team working skills@@ and the ability to @@work on multiple parallel work items@@ with other developers analysts etc Strong good to have: * Exposure to ##Java 8## concepts ##Lambdas## and ##Streams## * Experience in ##distributed caching## preferably ##Hazelcast *## Exposure to @@develop ##cloud## friendly application@@ using ##12 factor app methodologies## * Experience in ##messaging technologies## ##JMS## ##TIBCO## ##MQ## * Experience in ##UI testing technologies## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@do cloud refactoring@@, @@interpret technical texts@@, @@use software libraries@@, and for knowledge: ##KDevelop##, ##Common Lisp##, ##Visual Studio .NET##, ##computer programming##, ##Prolog (computer programming)##, ##software anomalies##, ##Assembly (computer programming)##, ##C###, ##R##, ##NoSQL##, ##integrated development environment software##, ##Salt (tools for software configuration management)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong @@do cloud refactoring@@ and the ability to @@interpret technical texts@@ with other developers analysts etc Strong good to have: * Exposure to ##KDevelop## concepts ##Common Lisp## and ##Visual Studio .NET## * Experience in ##computer programming## preferably ##Prolog (computer programming)## * Exposure to @@use software libraries@@ using ##Assembly (computer programming)## methodologies * Experience in ##C### ##R## ##NoSQL## * Experience in ##integrated development environment software## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors. Our team also has knowledge in ##software anomalies## and uses ##Salt (tools for software configuration management)##.,"""* Strong @@team working skills@@ and the ability to @@work on multiple parallel work items@@ with other developers analysts etc Strong good to have: * Exposure to ##Java 8## concepts ##Lambdas## and ##Streams## * Experience in ##distributed caching## preferably ##Hazelcast *## Exposure to @@develop ##cloud## friendly application@@ using ##12 factor app methodologies## * Experience in ##messaging technologies## ##JMS## ##TIBCO## ##MQ## * Experience in ##UI testing technologies## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors .""",* Strong @@do cloud refactoring@@ and the ability to @@interpret technical texts@@ with other developers analysts etc Strong good to have: * Exposure to ##KDevelop## concepts ##Common Lisp## and ##Visual Studio .NET## * Experience in ##computer programming## preferably ##Prolog (computer programming)## * Exposure to @@use software libraries@@ using ##Assembly (computer programming)## methodologies * Experience in ##C### ##R## ##NoSQL## * Experience in ##integrated development environment software## <ORGANIZATION> <ORGANIZATION> is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors. Our team also has knowledge in ##software anomalies## and uses ##Salt (tools for software configuration management)##.,
