occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
import export manager in clothing and footwear,"['monitor international market performance', 'build rapport with people from different cultural backgrounds', 'have computer literacy']",[],"Take this sentence from a Job Posting.

""@@Responds to security incidents@@ and @@coordinates mitigation efforts@@ between the client and <ORGANIZATION> to @@ensure that incidents are handled in a professional and timely manner@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@monitor international market performance@@, @@build rapport with people from different cultural backgrounds@@, @@have computer literacy@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Monitors international market performance@@ and @@builds rapport with people from different cultural backgrounds@@ between the client and <ORGANIZATION> to @@ensure that computer literacy is handled in a professional and timely manner@@.,"""@@Responds to security incidents@@ and @@coordinates mitigation efforts@@ between the client and <ORGANIZATION> to @@ensure that incidents are handled in a professional and timely manner@@ .""",@@Monitors international market performance@@ and @@builds rapport with people from different cultural backgrounds@@ between the client and <ORGANIZATION> to @@ensure that computer literacy is handled in a professional and timely manner@@.,
precision device inspector,"['write inspection reports', 'operate precision machinery']",['microelectronics'],"Take this sentence from a Job Posting.

""You have got a good understanding of ##how to run a business## and a strong @@commercial mindset@@ which makes is possible to @@create good communication and a strong relation@@ to both clients and colleagues .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@write inspection reports@@, @@operate precision machinery@@, and for knowledge: ##microelectronics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking someone with a solid understanding of ##microelectronics##. The ideal candidate will also possess the ability to @@write inspection reports@@ effectively and have the proficiency to @@operate precision machinery@@, ensuring smooth collaboration with both clients and colleagues.""","""You have got a good understanding of ##how to run a business## and a strong @@commercial mindset@@ which makes is possible to @@create good communication and a strong relation@@ to both clients and colleagues .""",You have got a good understanding of ##microelectronics## and a strong @@write inspection reports@@ which makes it possible to @@operate precision machinery@@ with both clients and colleagues.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""You have got a good understanding of ##microelectronics## and a strong @@write inspection reports@@ which makes it possible to @@operate precision machinery@@ with both clients and colleagues.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
blanching operator,[],['food safety principles'],"Take this sentence from a Job Posting.

""Responsible for ##equipment documentation## within projects .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##food safety principles##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Responsible for ##food safety principles## within projects.,"""Responsible for ##equipment documentation## within projects .""",Responsible for ##food safety principles## within projects.,
airport environment officer,"['comply with wildlife hazard management programmes', 'write work-related reports']",['airport environmental regulations'],"Take this sentence from a Job Posting.

""The Data Partner needs to @@understand the need and pain points of the business@@ and translates it into technical requirements to @@guide solutioning@@ with state of the art ##Data & Analytics tools## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@comply with wildlife hazard management programmes@@, @@write work-related reports@@, and for knowledge: ##airport environmental regulations##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The Wildlife Specialist needs to @@comply with wildlife hazard management programmes@@ and understand the implications of these programmes to @@write work-related reports@@ using their knowledge of ##airport environmental regulations##.,"""The Data Partner needs to @@understand the need and pain points of the business@@ and translates it into technical requirements to @@guide solutioning@@ with state of the art ##Data & Analytics tools## .""",The Wildlife Specialist needs to @@comply with wildlife hazard management programmes@@ and understand the implications of these programmes to @@write work-related reports@@ using their knowledge of ##airport environmental regulations##.,
packing machinery engineer,"['perform scientific research', 'set up the controller of a machine']",[],"Take this sentence from a Job Posting.

""Ability to @@keep focus@@ and @@be proactive@@ even in stressful situations .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@perform scientific research@@, @@set up the controller of a machine@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Ability to @@perform scientific research@@ and @@set up the controller of a machine@@ even in stressful situations.,"""Ability to @@keep focus@@ and @@be proactive@@ even in stressful situations .""",Ability to @@perform scientific research@@ and @@set up the controller of a machine@@ even in stressful situations.,
audio and video equipment specialised seller,[],"[""manufacturer's instructions for audiovisual equipment"", 'e-commerce systems', 'product comprehension']","Take this sentence from a Job Posting.

""A full-time position as Associate Professor in ##molecular cell biology## with focus on ##signaling mechanisms## involved in the ##water and salt balance## is open at the Department of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##manufacturer's instructions for audiovisual equipment##, ##e-commerce systems##, ##product comprehension##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The Department of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> is seeking a full-time Associate Professor with a focus on ##e-commerce systems##. The successful candidate will have a deep understanding of ##manufacturer's instructions for audiovisual equipment## and will be involved in the ##product comprehension##. This role is integral to our department and we look forward to welcoming a new team member.""","""A full-time position as Associate Professor in ##molecular cell biology## with focus on ##signaling mechanisms## involved in the ##water and salt balance## is open at the Department of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .""",A full-time position as Associate Professor in ##manufacturer's instructions for audiovisual equipment## with focus on ##e-commerce systems## involved in the ##product comprehension## is open at the Department of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""A full-time position as Associate Professor in ##manufacturer's instructions for audiovisual equipment## with focus on ##e-commerce systems## involved in the ##product comprehension## is open at the Department of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
category manager,[],['market pricing'],"Take this sentence from a Job Posting.

""You master ##English## on a strategic negotiation level both spoken and written .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##market pricing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You master ##market pricing## on a strategic negotiation level, both in theory and application.","""You master ##English## on a strategic negotiation level both spoken and written .""","You master ##market pricing## on a strategic negotiation level, both in theory and application.",
import export specialist in metals and metal ores,"['create solutions to problems', 'ensure customs compliance']",[],"Take this sentence from a Job Posting.

""You @@bring the vision@@ and have a @@pragmatic and systematic approach@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create solutions to problems@@, @@ensure customs compliance@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You @@create solutions to problems@@ and have a @@ensure customs compliance@@.,"""You @@bring the vision@@ and have a @@pragmatic and systematic approach@@ .""",You @@create solutions to problems@@ and have a @@ensure customs compliance@@.,
animal trainer,[],"['dog behaviour', 'young horses training', 'animal welfare legislation', 'environmental enrichment for animals']","Take this sentence from a Job Posting.

""The position includes research in ##molecular cell biology## with focus on the ##hormone-regulated signaling mechanisms## of ##membrane proteins## involved in the ##water and salt balance## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##dog behaviour##, ##young horses training##, ##animal welfare legislation##, ##environmental enrichment for animals##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The position involves conducting research on ##dog behaviour##, with a particular focus on the ##animal welfare legislation## that pertains to the ##environmental enrichment for animals##. A key aspect of this role will be the ##young horses training##, ensuring their welfare and enrichment are prioritized.""","""The position includes research in ##molecular cell biology## with focus on the ##hormone-regulated signaling mechanisms## of ##membrane proteins## involved in the ##water and salt balance## .""",The position includes research in ##dog behaviour## with focus on the ##young horses training## of ##animal welfare legislation## involved in the ##environmental enrichment for animals##.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""The position includes research in ##dog behaviour## with focus on the ##young horses training## of ##animal welfare legislation## involved in the ##environmental enrichment for animals##.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
ethical hacker,"['provide technical documentation', 'implement a firewall']",[],"Take this sentence from a Job Posting.

""You demonstrate a @@high personal energy@@ and are able to @@motivate and engage your project team members@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide technical documentation@@, @@implement a firewall@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You @@provide technical documentation@@ and are able to @@implement a firewall@@.,"""You demonstrate a @@high personal energy@@ and are able to @@motivate and engage your project team members@@ .""",You @@provide technical documentation@@ and are able to @@implement a firewall@@.,
record press operator,"['mould vinyl records', 'monitor automated machines', 'retain record samples']",[],"Take this sentence from a Job Posting.

""Finally you are @@self-motivating@@ @@energetic@@ and @@not afraid to take matters into your own hands@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@mould vinyl records@@, @@monitor automated machines@@, @@retain record samples@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Finally you are @@mould vinyl records@@, @@monitor automated machines@@ and @@retain record samples@@.","""Finally you are @@self-motivating@@ @@energetic@@ and @@not afraid to take matters into your own hands@@ .""","Finally you are @@mould vinyl records@@, @@monitor automated machines@@ and @@retain record samples@@.",
metal planer operator,[],['manufacturing of metal containers'],"Take this sentence from a Job Posting.

""The research activity will focus on ##topological phases of matter## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##manufacturing of metal containers##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The research activity will focus on ##manufacturing of metal containers## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .,"""The research activity will focus on ##topological phases of matter## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .""",The research activity will focus on ##manufacturing of metal containers## and it will be carried out in the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> ) and in collaboration with the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> ( <ORGANIZATION> .,
drugstore manager,['ensure compliance with purchasing and contracting regulations'],"['sales activities', 'general medicine', 'cosmetics', 'beverage products', 'employment law', 'medicines for self-medication', 'types of written press', 'company policies']","Take this sentence from a Job Posting.

""Profile Essential experience and skills You have an ##MSc## in ##mechanical engineering## ##electronic engineer## ##physics## or similar You have a profound knowledge of ##semiconductor fabrication## You have a profound knowledge of ##interfacing superconductors## and ##semiconductor and electrical characterization## of such devices You are used to work in an ##academic lab## Service-minded behaviour including experience @@training others@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@ensure compliance with purchasing and contracting regulations@@, and for knowledge: ##sales activities##, ##general medicine##, ##cosmetics##, ##beverage products##, ##employment law##, ##medicines for self-medication##, ##types of written press##, ##company policies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities.","We are seeking a candidate with a diverse range of expertise. Ideally, you should possess an ##MSc## in fields such as ##general medicine##, ##cosmetics##, ##beverage products##, ##employment law##, ##medicines for self-medication##, ##types of written press##, or ##company policies##. A deep understanding of ##sales activities## is crucial for this role. Experience in an ##academic lab## setting is also beneficial. We value service-minded individuals who can @@ensure compliance with purchasing and contracting regulations@@.","""Profile Essential experience and skills You have an ##MSc## in ##mechanical engineering## ##electronic engineer## ##physics## or similar You have a profound knowledge of ##semiconductor fabrication## You have a profound knowledge of ##interfacing superconductors## and ##semiconductor and electrical characterization## of such devices You are used to work in an ##academic lab## Service-minded behaviour including experience @@training others@@ .""","Profile Essential experience and skills You have an ##MSc## in ##general medicine##, ##cosmetics##, ##beverage products##, ##employment law##, ##medicines for self-medication##, ##types of written press##, ##company policies## or similar. You have a profound knowledge of ##sales activities##. You are used to work in an ##academic lab##. Service-minded behaviour including experience @@ensure compliance with purchasing and contracting regulations@@.","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Profile Essential experience and skills You have an ##MSc## in ##general medicine##, ##cosmetics##, ##beverage products##, ##employment law##, ##medicines for self-medication##, ##types of written press##, ##company policies## or similar. You have a profound knowledge of ##sales activities##. You are used to work in an ##academic lab##. Service-minded behaviour including experience @@ensure compliance with purchasing and contracting regulations@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
hardwood floor layer,[],"['wood moisture content', 'aesthetics', 'types of wood']","Take this sentence from a Job Posting.

""Solid and proven experience with ##process design and engineering## within ##Food & Beverage## or ##Process## industries .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##wood moisture content##, ##aesthetics##, ##types of wood##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Solid and proven experience with ##wood moisture content##, ##aesthetics##, and ##types of wood## within Food & Beverage or Process industries.","""Solid and proven experience with ##process design and engineering## within ##Food & Beverage## or ##Process## industries .""","Solid and proven experience with ##wood moisture content##, ##aesthetics##, and ##types of wood## within Food & Beverage or Process industries.",
yeast distiller,['blend beverages'],[],"Take this sentence from a Job Posting.

""Are you motivated by the idea of @@following the development process from the beginning to end?@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@blend beverages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Are you motivated by the idea of @@blending beverages@@ from the beginning to end?,"""Are you motivated by the idea of @@following the development process from the beginning to end?@@""",Are you motivated by the idea of @@blending beverages@@ from the beginning to end?,
quarry manager,[],"['business management principles', 'business analysis', 'economics', 'geology']","Take this sentence from a Job Posting.

""You have a solid understanding of ##Linux## ##cloud computing## ##relational databases## and ##IT security## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##business management principles##, ##business analysis##, ##economics##, ##geology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You have a solid understanding of ##business management principles##, ##business analysis##, ##economics## and ##geology##.","""You have a solid understanding of ##Linux## ##cloud computing## ##relational databases## and ##IT security## .""","You have a solid understanding of ##business management principles##, ##business analysis##, ##economics## and ##geology##.",
incinerator operator,['identify hazards in the workplace'],[],"Take this sentence from a Job Posting.

""During our course of 4 weeks ( first 4 weeks of April) you will get the chance to @@learn new dance moves@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify hazards in the workplace@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",During our course of 4 weeks ( first 4 weeks of April) you will get the chance to @@identify hazards in the workplace@@.,"""During our course of 4 weeks ( first 4 weeks of April) you will get the chance to @@learn new dance moves@@ .""",During our course of 4 weeks ( first 4 weeks of April) you will get the chance to @@identify hazards in the workplace@@.,
wholesale merchant in fruit and vegetables,"['identify suppliers', 'assess supplier risks', 'build business relationships', 'perform market research']",[],"Take this sentence from a Job Posting.

""Who you are To be successful in this position you must be a strong @@communicator@@ with a lot of @@drive@@ and @@own initiative@@ who possess the ability to @@support discuss with and present to maintenance crews and factory managers@@ as well as to high level management .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@identify suppliers@@, @@assess supplier risks@@, @@build business relationships@@, @@perform market research@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Who you are To be successful in this position you must be able to @@identify suppliers@@ with a lot of @@assess supplier risks@@ and @@build business relationships@@ who possess the ability to @@perform market research@@ with maintenance crews and factory managers as well as to high level management.,"""Who you are To be successful in this position you must be a strong @@communicator@@ with a lot of @@drive@@ and @@own initiative@@ who possess the ability to @@support discuss with and present to maintenance crews and factory managers@@ as well as to high level management .""",Who you are To be successful in this position you must be able to @@identify suppliers@@ with a lot of @@assess supplier risks@@ and @@build business relationships@@ who possess the ability to @@perform market research@@ with maintenance crews and factory managers as well as to high level management.,
import export manager in flowers and plants,"['have computer literacy', 'maintain financial records']",[],"Take this sentence from a Job Posting.

""Curious and @@collaborative@@ engineer To be a success you must exhibit the subtle balance of being @@intrigued by the interplay between processes systems and people@@ combined with a technical twist .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@have computer literacy@@, @@maintain financial records@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking a curious engineer with @@computer literacy@@. To be successful in this role, you must maintain a delicate balance of @@maintaining financial records@@ with a technical twist.""","""Curious and @@collaborative@@ engineer To be a success you must exhibit the subtle balance of being @@intrigued by the interplay between processes systems and people@@ combined with a technical twist .""",Curious and @@have computer literacy@@ engineer To be a success you must exhibit the subtle balance of being @@maintain financial records@@ combined with a technical twist.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Curious and @@have computer literacy@@ engineer To be a success you must exhibit the subtle balance of being @@maintain financial records@@ combined with a technical twist.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
